"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PL","30.10.2015 21:00 - 30.10.2015 22:00 (CET/CEST)","252","5990","64","663","10046","222","n/e","n/e","n/e","0","","121","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","963"
"BZN|PL","30.10.2015 22:00 - 30.10.2015 23:00 (CET/CEST)","241","5509","67","615","9249","226","n/e","n/e","n/e","0","","105","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","952"
"BZN|PL","30.10.2015 23:00 - 31.10.2015 00:00 (CET/CEST)","238","5203","70","575","8494","226","n/e","n/e","n/e","0","","94","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","864"
"BZN|PL","31.10.2015 00:00 - 31.10.2015 01:00 (CET/CEST)","238","5383","73","573","7681","226","n/e","n/e","n/e","0","","80","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","867"
"BZN|PL","31.10.2015 01:00 - 31.10.2015 02:00 (CET/CEST)","238","4930","71","570","7530","225","n/e","n/e","n/e","0","","78","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","838"
"BZN|PL","31.10.2015 02:00 - 31.10.2015 03:00 (CET/CEST)","238","4667","70","531","7553","225","n/e","n/e","n/e","0","","78","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","756"
"BZN|PL","31.10.2015 03:00 - 31.10.2015 04:00 (CET/CEST)","239","4571","70","527","7545","224","n/e","n/e","n/e","0","","79","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","790"
"BZN|PL","31.10.2015 04:00 - 31.10.2015 05:00 (CET/CEST)","238","4698","69","528","7554","225","n/e","n/e","n/e","0","","79","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","782"
"BZN|PL","31.10.2015 05:00 - 31.10.2015 06:00 (CET/CEST)","238","4777","68","532","7597","223","n/e","n/e","n/e","0","","79","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","846"
"BZN|PL","31.10.2015 06:00 - 31.10.2015 07:00 (CET/CEST)","239","4826","67","572","7789","223","n/e","n/e","n/e","0","","79","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","887"
"BZN|PL","31.10.2015 07:00 - 31.10.2015 08:00 (CET/CEST)","238","5072","65","592","8173","225","n/e","n/e","n/e","0","","79","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","925"
"BZN|PL","31.10.2015 08:00 - 31.10.2015 09:00 (CET/CEST)","238","5695","67","593","8866","217","n/e","n/e","n/e","0","","83","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","811"
